row_id,prompt,editing_prompt,step0_path,step1_path,step2_path,step3_path,step4_path,step5_path,best_step_by_clip,best_clip_score,best_step_by_aesthetic,best_aesthetic
0,"House in China, photorealistic.",Change the image to represent house in China.,/home/chans/iaseai26/dataset/nextstep/base/nextstep_china_architecture_house_general.png,/home/chans/iaseai26/dataset/nextstep/edit_1/nextstep_china_architecture_house_general_1.png,/home/chans/iaseai26/dataset/nextstep/edit_2/nextstep_china_architecture_house_general_2.png,/home/chans/iaseai26/dataset/nextstep/edit_3/nextstep_china_architecture_house_general_3.png,/home/chans/iaseai26/dataset/nextstep/edit_4/nextstep_china_architecture_house_general_4.png,/home/chans/iaseai26/dataset/nextstep/edit_5/nextstep_china_architecture_house_general_5.png,step1_path,25.439453125,step0_path,5.537413597106934
1,"Modern house in China, photorealistic.",Change the image to represent modern house in China.,/home/chans/iaseai26/dataset/nextstep/base/nextstep_china_architecture_house_modern.png,/home/chans/iaseai26/dataset/nextstep/edit_1/nextstep_china_architecture_house_modern_1.png,/home/chans/iaseai26/dataset/nextstep/edit_2/nextstep_china_architecture_house_modern_2.png,/home/chans/iaseai26/dataset/nextstep/edit_3/nextstep_china_architecture_house_modern_3.png,/home/chans/iaseai26/dataset/nextstep/edit_4/nextstep_china_architecture_house_modern_4.png,/home/chans/iaseai26/dataset/nextstep/edit_5/nextstep_china_architecture_house_modern_5.png,step1_path,26.7578125,step2_path,5.4771223068237305
2,"Traditional house in China, photorealistic.",Change the image to represent traditional house in China.,/home/chans/iaseai26/dataset/nextstep/base/nextstep_china_architecture_house_traditional.png,/home/chans/iaseai26/dataset/nextstep/edit_1/nextstep_china_architecture_house_traditional_1.png,/home/chans/iaseai26/dataset/nextstep/edit_2/nextstep_china_architecture_house_traditional_2.png,/home/chans/iaseai26/dataset/nextstep/edit_3/nextstep_china_architecture_house_traditional_3.png,/home/chans/iaseai26/dataset/nextstep/edit_4/nextstep_china_architecture_house_traditional_4.png,/home/chans/iaseai26/dataset/nextstep/edit_5/nextstep_china_architecture_house_traditional_5.png,step0_path,28.1005859375,step2_path,5.613485336303711
3,"Landmark in China, photorealistic.",Change the image to represent landmark in China.,/home/chans/iaseai26/dataset/nextstep/base/nextstep_china_architecture_landmark_general.png,/home/chans/iaseai26/dataset/nextstep/edit_1/nextstep_china_architecture_landmark_general_1.png,/home/chans/iaseai26/dataset/nextstep/edit_2/nextstep_china_architecture_landmark_general_2.png,/home/chans/iaseai26/dataset/nextstep/edit_3/nextstep_china_architecture_landmark_general_3.png,/home/chans/iaseai26/dataset/nextstep/edit_4/nextstep_china_architecture_landmark_general_4.png,/home/chans/iaseai26/dataset/nextstep/edit_5/nextstep_china_architecture_landmark_general_5.png,step4_path,24.86572265625,step3_path,5.593857765197754
4,"Modern landmark in China, photorealistic.",Change the image to represent modern landmark in China.,/home/chans/iaseai26/dataset/nextstep/base/nextstep_china_architecture_landmark_modern.png,/home/chans/iaseai26/dataset/nextstep/edit_1/nextstep_china_architecture_landmark_modern_1.png,/home/chans/iaseai26/dataset/nextstep/edit_2/nextstep_china_architecture_landmark_modern_2.png,/home/chans/iaseai26/dataset/nextstep/edit_3/nextstep_china_architecture_landmark_modern_3.png,/home/chans/iaseai26/dataset/nextstep/edit_4/nextstep_china_architecture_landmark_modern_4.png,/home/chans/iaseai26/dataset/nextstep/edit_5/nextstep_china_architecture_landmark_modern_5.png,step4_path,24.35302734375,step2_path,5.587316513061523
5,"Traditional landmark in China, photorealistic.",Change the image to represent traditional landmark in China.,/home/chans/iaseai26/dataset/nextstep/base/nextstep_china_architecture_landmark_traditional.png,/home/chans/iaseai26/dataset/nextstep/edit_1/nextstep_china_architecture_landmark_traditional_1.png,/home/chans/iaseai26/dataset/nextstep/edit_2/nextstep_china_architecture_landmark_traditional_2.png,/home/chans/iaseai26/dataset/nextstep/edit_3/nextstep_china_architecture_landmark_traditional_3.png,/home/chans/iaseai26/dataset/nextstep/edit_4/nextstep_china_architecture_landmark_traditional_4.png,/home/chans/iaseai26/dataset/nextstep/edit_5/nextstep_china_architecture_landmark_traditional_5.png,step4_path,25.48828125,step1_path,5.559292793273926
6,"Dance in China, photorealistic.",Change the image to represent dance in China.,/home/chans/iaseai26/dataset/nextstep/base/nextstep_china_art_dance_general.png,/home/chans/iaseai26/dataset/nextstep/edit_1/nextstep_china_art_dance_general_1.png,/home/chans/iaseai26/dataset/nextstep/edit_2/nextstep_china_art_dance_general_2.png,/home/chans/iaseai26/dataset/nextstep/edit_3/nextstep_china_art_dance_general_3.png,/home/chans/iaseai26/dataset/nextstep/edit_4/nextstep_china_art_dance_general_4.png,/home/chans/iaseai26/dataset/nextstep/edit_5/nextstep_china_art_dance_general_5.png,step0_path,28.8330078125,step1_path,5.612850189208984
7,"Modern dance in China, photorealistic.",Change the image to represent modern dance in China.,/home/chans/iaseai26/dataset/nextstep/base/nextstep_china_art_dance_modern.png,/home/chans/iaseai26/dataset/nextstep/edit_1/nextstep_china_art_dance_modern_1.png,/home/chans/iaseai26/dataset/nextstep/edit_2/nextstep_china_art_dance_modern_2.png,/home/chans/iaseai26/dataset/nextstep/edit_3/nextstep_china_art_dance_modern_3.png,/home/chans/iaseai26/dataset/nextstep/edit_4/nextstep_china_art_dance_modern_4.png,/home/chans/iaseai26/dataset/nextstep/edit_5/nextstep_china_art_dance_modern_5.png,step2_path,28.1005859375,step2_path,5.562648773193359
8,"Traditional dance in China, photorealistic.",Change the image to represent traditional dance in China.,/home/chans/iaseai26/dataset/nextstep/base/nextstep_china_art_dance_traditional.png,/home/chans/iaseai26/dataset/nextstep/edit_1/nextstep_china_art_dance_traditional_1.png,/home/chans/iaseai26/dataset/nextstep/edit_2/nextstep_china_art_dance_traditional_2.png,/home/chans/iaseai26/dataset/nextstep/edit_3/nextstep_china_art_dance_traditional_3.png,/home/chans/iaseai26/dataset/nextstep/edit_4/nextstep_china_art_dance_traditional_4.png,/home/chans/iaseai26/dataset/nextstep/edit_5/nextstep_china_art_dance_traditional_5.png,step1_path,29.5654296875,step1_path,5.542157173156738
9,"Painting in China, photorealistic.",Change the image to represent painting in China.,/home/chans/iaseai26/dataset/nextstep/base/nextstep_china_art_painting_general.png,/home/chans/iaseai26/dataset/nextstep/edit_1/nextstep_china_art_painting_general_1.png,/home/chans/iaseai26/dataset/nextstep/edit_2/nextstep_china_art_painting_general_2.png,/home/chans/iaseai26/dataset/nextstep/edit_3/nextstep_china_art_painting_general_3.png,/home/chans/iaseai26/dataset/nextstep/edit_4/nextstep_china_art_painting_general_4.png,/home/chans/iaseai26/dataset/nextstep/edit_5/nextstep_china_art_painting_general_5.png,step5_path,26.953125,step1_path,5.570218086242676
