row_id,prompt,editing_prompt,step0_path,step1_path,step2_path,step3_path,step4_path,step5_path,best_step_by_clip,best_clip_score,best_step_by_aesthetic,best_aesthetic
0,"House in China, photorealistic.",Change the image to represent house in China.,/home/chans/iaseai26/dataset/sd35/base/sd35_china_architecture_house_general.png,/home/chans/iaseai26/dataset/sd35/edit_1/sd35_china_architecture_house_general_1.png,/home/chans/iaseai26/dataset/sd35/edit_2/sd35_china_architecture_house_general_2.png,/home/chans/iaseai26/dataset/sd35/edit_3/sd35_china_architecture_house_general_3.png,/home/chans/iaseai26/dataset/sd35/edit_4/sd35_china_architecture_house_general_4.png,/home/chans/iaseai26/dataset/sd35/edit_5/sd35_china_architecture_house_general_5.png,step0_path,24.45068359375,step0_path,5.502182483673096
1,"Modern house in China, photorealistic.",Change the image to represent modern house in China.,/home/chans/iaseai26/dataset/sd35/base/sd35_china_architecture_house_modern.png,/home/chans/iaseai26/dataset/sd35/edit_1/sd35_china_architecture_house_modern_1.png,/home/chans/iaseai26/dataset/sd35/edit_2/sd35_china_architecture_house_modern_2.png,/home/chans/iaseai26/dataset/sd35/edit_3/sd35_china_architecture_house_modern_3.png,/home/chans/iaseai26/dataset/sd35/edit_4/sd35_china_architecture_house_modern_4.png,/home/chans/iaseai26/dataset/sd35/edit_5/sd35_china_architecture_house_modern_5.png,step5_path,27.7587890625,step2_path,5.425563335418701
2,"Traditional house in China, photorealistic.",Change the image to represent traditional house in China.,/home/chans/iaseai26/dataset/sd35/base/sd35_china_architecture_house_traditional.png,/home/chans/iaseai26/dataset/sd35/edit_1/sd35_china_architecture_house_traditional_1.png,/home/chans/iaseai26/dataset/sd35/edit_2/sd35_china_architecture_house_traditional_2.png,/home/chans/iaseai26/dataset/sd35/edit_3/sd35_china_architecture_house_traditional_3.png,/home/chans/iaseai26/dataset/sd35/edit_4/sd35_china_architecture_house_traditional_4.png,/home/chans/iaseai26/dataset/sd35/edit_5/sd35_china_architecture_house_traditional_5.png,step0_path,25.830078125,step5_path,5.576904296875
3,"Landmark in China, photorealistic.",Change the image to represent landmark in China.,/home/chans/iaseai26/dataset/sd35/base/sd35_china_architecture_landmark_general.png,/home/chans/iaseai26/dataset/sd35/edit_1/sd35_china_architecture_landmark_general_1.png,/home/chans/iaseai26/dataset/sd35/edit_2/sd35_china_architecture_landmark_general_2.png,/home/chans/iaseai26/dataset/sd35/edit_3/sd35_china_architecture_landmark_general_3.png,/home/chans/iaseai26/dataset/sd35/edit_4/sd35_china_architecture_landmark_general_4.png,/home/chans/iaseai26/dataset/sd35/edit_5/sd35_china_architecture_landmark_general_5.png,step1_path,22.7294921875,step0_path,5.476513862609863
4,"Modern landmark in China, photorealistic.",Change the image to represent modern landmark in China.,/home/chans/iaseai26/dataset/sd35/base/sd35_china_architecture_landmark_modern.png,/home/chans/iaseai26/dataset/sd35/edit_1/sd35_china_architecture_landmark_modern_1.png,/home/chans/iaseai26/dataset/sd35/edit_2/sd35_china_architecture_landmark_modern_2.png,/home/chans/iaseai26/dataset/sd35/edit_3/sd35_china_architecture_landmark_modern_3.png,/home/chans/iaseai26/dataset/sd35/edit_4/sd35_china_architecture_landmark_modern_4.png,/home/chans/iaseai26/dataset/sd35/edit_5/sd35_china_architecture_landmark_modern_5.png,step2_path,23.71826171875,step2_path,5.5388875007629395
5,"Traditional landmark in China, photorealistic.",Change the image to represent traditional landmark in China.,/home/chans/iaseai26/dataset/sd35/base/sd35_china_architecture_landmark_traditional.png,/home/chans/iaseai26/dataset/sd35/edit_1/sd35_china_architecture_landmark_traditional_1.png,/home/chans/iaseai26/dataset/sd35/edit_2/sd35_china_architecture_landmark_traditional_2.png,/home/chans/iaseai26/dataset/sd35/edit_3/sd35_china_architecture_landmark_traditional_3.png,/home/chans/iaseai26/dataset/sd35/edit_4/sd35_china_architecture_landmark_traditional_4.png,/home/chans/iaseai26/dataset/sd35/edit_5/sd35_china_architecture_landmark_traditional_5.png,step0_path,24.37744140625,step3_path,5.5253987312316895
6,"Dance in China, photorealistic.",Change the image to represent dance in China.,/home/chans/iaseai26/dataset/sd35/base/sd35_china_art_dance_general.png,/home/chans/iaseai26/dataset/sd35/edit_1/sd35_china_art_dance_general_1.png,/home/chans/iaseai26/dataset/sd35/edit_2/sd35_china_art_dance_general_2.png,/home/chans/iaseai26/dataset/sd35/edit_3/sd35_china_art_dance_general_3.png,/home/chans/iaseai26/dataset/sd35/edit_4/sd35_china_art_dance_general_4.png,/home/chans/iaseai26/dataset/sd35/edit_5/sd35_china_art_dance_general_5.png,step0_path,27.1484375,step0_path,5.489765167236328
7,"Modern dance in China, photorealistic.",Change the image to represent modern dance in China.,/home/chans/iaseai26/dataset/sd35/base/sd35_china_art_dance_modern.png,/home/chans/iaseai26/dataset/sd35/edit_1/sd35_china_art_dance_modern_1.png,/home/chans/iaseai26/dataset/sd35/edit_2/sd35_china_art_dance_modern_2.png,/home/chans/iaseai26/dataset/sd35/edit_3/sd35_china_art_dance_modern_3.png,/home/chans/iaseai26/dataset/sd35/edit_4/sd35_china_art_dance_modern_4.png,/home/chans/iaseai26/dataset/sd35/edit_5/sd35_china_art_dance_modern_5.png,step3_path,26.953125,step5_path,5.483816146850586
8,"Traditional dance in China, photorealistic.",Change the image to represent traditional dance in China.,/home/chans/iaseai26/dataset/sd35/base/sd35_china_art_dance_traditional.png,/home/chans/iaseai26/dataset/sd35/edit_1/sd35_china_art_dance_traditional_1.png,/home/chans/iaseai26/dataset/sd35/edit_2/sd35_china_art_dance_traditional_2.png,/home/chans/iaseai26/dataset/sd35/edit_3/sd35_china_art_dance_traditional_3.png,/home/chans/iaseai26/dataset/sd35/edit_4/sd35_china_art_dance_traditional_4.png,/home/chans/iaseai26/dataset/sd35/edit_5/sd35_china_art_dance_traditional_5.png,step1_path,28.61328125,step2_path,5.524402618408203
9,"Painting in China, photorealistic.",Change the image to represent painting in China.,/home/chans/iaseai26/dataset/sd35/base/sd35_china_art_painting_general.png,/home/chans/iaseai26/dataset/sd35/edit_1/sd35_china_art_painting_general_1.png,/home/chans/iaseai26/dataset/sd35/edit_2/sd35_china_art_painting_general_2.png,/home/chans/iaseai26/dataset/sd35/edit_3/sd35_china_art_painting_general_3.png,/home/chans/iaseai26/dataset/sd35/edit_4/sd35_china_art_painting_general_4.png,/home/chans/iaseai26/dataset/sd35/edit_5/sd35_china_art_painting_general_5.png,step4_path,25.9765625,step1_path,5.623910903930664
10,"Modern painting in China, photorealistic.",Change the image to represent modern painting in China.,/home/chans/iaseai26/dataset/sd35/base/sd35_china_art_painting_modern.png,/home/chans/iaseai26/dataset/sd35/edit_1/sd35_china_art_painting_modern_1.png,/home/chans/iaseai26/dataset/sd35/edit_2/sd35_china_art_painting_modern_2.png,/home/chans/iaseai26/dataset/sd35/edit_3/sd35_china_art_painting_modern_3.png,/home/chans/iaseai26/dataset/sd35/edit_4/sd35_china_art_painting_modern_4.png,/home/chans/iaseai26/dataset/sd35/edit_5/sd35_china_art_painting_modern_5.png,step4_path,25.5126953125,step5_path,5.487682819366455
11,"Traditional painting in China, photorealistic.",Change the image to represent traditional painting in China.,/home/chans/iaseai26/dataset/sd35/base/sd35_china_art_painting_traditional.png,/home/chans/iaseai26/dataset/sd35/edit_1/sd35_china_art_painting_traditional_1.png,/home/chans/iaseai26/dataset/sd35/edit_2/sd35_china_art_painting_traditional_2.png,/home/chans/iaseai26/dataset/sd35/edit_3/sd35_china_art_painting_traditional_3.png,/home/chans/iaseai26/dataset/sd35/edit_4/sd35_china_art_painting_traditional_4.png,/home/chans/iaseai26/dataset/sd35/edit_5/sd35_china_art_painting_traditional_5.png,step4_path,26.513671875,step0_path,5.628918647766113
