uid,group_id,step,country,category,sub_category,variant,accuracy,precision,recall,f1,num_questions,processing_time,question_source,cultural_representative,prompt_alignment,is_best,is_worst
hidream_china_architecture_house_general::step0,hidream_china_architecture_house_general,step0,china,architecture,house,general,1.0,1.0,1.0,1.0,4,5.3491127490997314,enhanced_heuristic,1,1,True,False
hidream_china_architecture_house_general::1,hidream_china_architecture_house_general,1,china,architecture,house,general,1.0,1.0,1.0,1.0,4,5.22134804725647,enhanced_heuristic,2,3,False,False
hidream_china_architecture_house_general::2,hidream_china_architecture_house_general,2,china,architecture,house,general,0.75,1.0,0.5,0.6666666666666666,4,5.092499732971191,enhanced_heuristic,2,3,False,False
hidream_china_architecture_house_general::3,hidream_china_architecture_house_general,3,china,architecture,house,general,1.0,1.0,1.0,1.0,4,5.06945538520813,enhanced_heuristic,2,3,False,False
hidream_china_architecture_house_general::4,hidream_china_architecture_house_general,4,china,architecture,house,general,1.0,1.0,1.0,1.0,4,5.068910598754883,enhanced_heuristic,2,3,False,True
hidream_china_architecture_house_general::5,hidream_china_architecture_house_general,5,china,architecture,house,general,1.0,1.0,1.0,1.0,4,5.078226089477539,enhanced_heuristic,2,3,False,False
hidream_china_architecture_house_modern::step0,hidream_china_architecture_house_modern,step0,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.84015965461731,enhanced_heuristic,3,3,True,False
hidream_china_architecture_house_modern::1,hidream_china_architecture_house_modern,1,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.8410539627075195,enhanced_heuristic,1,1,False,False
hidream_china_architecture_house_modern::2,hidream_china_architecture_house_modern,2,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.848067283630371,enhanced_heuristic,1,1,False,False
hidream_china_architecture_house_modern::3,hidream_china_architecture_house_modern,3,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.853186368942261,enhanced_heuristic,2,3,False,False
hidream_china_architecture_house_modern::4,hidream_china_architecture_house_modern,4,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.855048418045044,enhanced_heuristic,1,1,False,False
hidream_china_architecture_house_modern::5,hidream_china_architecture_house_modern,5,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.8546788692474365,enhanced_heuristic,1,1,False,True
hidream_china_architecture_house_traditional::step0,hidream_china_architecture_house_traditional,step0,china,architecture,house,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.8414511680603027,enhanced_heuristic,1,1,True,False
hidream_china_architecture_house_traditional::1,hidream_china_architecture_house_traditional,1,china,architecture,house,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.8432350158691406,enhanced_heuristic,1,1,False,False
hidream_china_architecture_house_traditional::2,hidream_china_architecture_house_traditional,2,china,architecture,house,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.8461759090423584,enhanced_heuristic,1,1,False,False
hidream_china_architecture_house_traditional::3,hidream_china_architecture_house_traditional,3,china,architecture,house,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.8178796768188477,enhanced_heuristic,1,1,False,False
hidream_china_architecture_house_traditional::4,hidream_china_architecture_house_traditional,4,china,architecture,house,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.8175008296966553,enhanced_heuristic,1,1,False,False
hidream_china_architecture_house_traditional::5,hidream_china_architecture_house_traditional,5,china,architecture,house,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.854649305343628,enhanced_heuristic,1,1,False,True
hidream_china_architecture_landmark_general::step0,hidream_china_architecture_landmark_general,step0,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,5.426652908325195,enhanced_heuristic,5,5,True,False
hidream_china_architecture_landmark_general::1,hidream_china_architecture_landmark_general,1,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,5.456529855728149,enhanced_heuristic,1,1,False,False
hidream_china_architecture_landmark_general::2,hidream_china_architecture_landmark_general,2,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,5.584734916687012,enhanced_heuristic,1,1,False,False
hidream_china_architecture_landmark_general::3,hidream_china_architecture_landmark_general,3,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,5.429586410522461,enhanced_heuristic,1,1,False,False
hidream_china_architecture_landmark_general::4,hidream_china_architecture_landmark_general,4,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,5.4696595668792725,enhanced_heuristic,1,1,False,False
hidream_china_architecture_landmark_general::5,hidream_china_architecture_landmark_general,5,china,architecture,landmark,general,1.0,1.0,1.0,1.0,4,5.436666250228882,enhanced_heuristic,1,1,False,True
hidream_china_architecture_landmark_modern::step0,hidream_china_architecture_landmark_modern,step0,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,5.420039176940918,enhanced_heuristic,5,5,True,False
hidream_china_architecture_landmark_modern::1,hidream_china_architecture_landmark_modern,1,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,5.41787576675415,enhanced_heuristic,1,1,False,False
hidream_china_architecture_landmark_modern::2,hidream_china_architecture_landmark_modern,2,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,5.420796155929565,enhanced_heuristic,1,1,False,False
hidream_china_architecture_landmark_modern::3,hidream_china_architecture_landmark_modern,3,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,5.4245734214782715,enhanced_heuristic,1,1,False,False
hidream_china_architecture_landmark_modern::4,hidream_china_architecture_landmark_modern,4,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,5.429197072982788,enhanced_heuristic,1,1,False,False
hidream_china_architecture_landmark_modern::5,hidream_china_architecture_landmark_modern,5,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,5.433062791824341,enhanced_heuristic,1,1,False,True
hidream_china_architecture_landmark_traditional::step0,hidream_china_architecture_landmark_traditional,step0,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.384993314743042,enhanced_heuristic,2,2,True,False
hidream_china_architecture_landmark_traditional::1,hidream_china_architecture_landmark_traditional,1,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.3851864337921143,enhanced_heuristic,1,1,False,False
hidream_china_architecture_landmark_traditional::2,hidream_china_architecture_landmark_traditional,2,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.387072801589966,enhanced_heuristic,1,1,False,False
hidream_china_architecture_landmark_traditional::3,hidream_china_architecture_landmark_traditional,3,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.392934560775757,enhanced_heuristic,1,1,False,False
hidream_china_architecture_landmark_traditional::4,hidream_china_architecture_landmark_traditional,4,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.3903746604919434,enhanced_heuristic,1,1,False,False
hidream_china_architecture_landmark_traditional::5,hidream_china_architecture_landmark_traditional,5,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.396265983581543,enhanced_heuristic,1,1,False,True
hidream_china_art_dance_general::step0,hidream_china_art_dance_general,step0,china,art,dance,general,0.5,0.0,0.0,0.0,4,9.273684740066528,enhanced_heuristic,1,1,True,False
hidream_china_art_dance_general::1,hidream_china_art_dance_general,1,china,art,dance,general,0.5,0.0,0.0,0.0,4,9.269511699676514,enhanced_heuristic,1,1,False,False
hidream_china_art_dance_general::2,hidream_china_art_dance_general,2,china,art,dance,general,0.5,0.0,0.0,0.0,4,9.42667531967163,enhanced_heuristic,1,1,False,False
hidream_china_art_dance_general::3,hidream_china_art_dance_general,3,china,art,dance,general,0.5,0.0,0.0,0.0,4,9.27359127998352,enhanced_heuristic,1,1,False,False
hidream_china_art_dance_general::4,hidream_china_art_dance_general,4,china,art,dance,general,0.5,0.0,0.0,0.0,4,9.284365177154541,enhanced_heuristic,1,1,False,False
hidream_china_art_dance_general::5,hidream_china_art_dance_general,5,china,art,dance,general,0.75,1.0,0.5,0.6666666666666666,4,9.28471326828003,enhanced_heuristic,1,1,False,True
hidream_china_art_dance_modern::step0,hidream_china_art_dance_modern,step0,china,art,dance,modern,0.75,1.0,0.5,0.6666666666666666,4,5.5508363246917725,enhanced_heuristic,1,1,True,False
hidream_china_art_dance_modern::1,hidream_china_art_dance_modern,1,china,art,dance,modern,0.5,0.0,0.0,0.0,4,5.5467424392700195,enhanced_heuristic,1,1,False,False
hidream_china_art_dance_modern::2,hidream_china_art_dance_modern,2,china,art,dance,modern,0.5,0.0,0.0,0.0,4,5.557055234909058,enhanced_heuristic,1,1,False,False
hidream_china_art_dance_modern::3,hidream_china_art_dance_modern,3,china,art,dance,modern,0.5,0.0,0.0,0.0,4,5.565719366073608,enhanced_heuristic,1,1,False,False
hidream_china_art_dance_modern::4,hidream_china_art_dance_modern,4,china,art,dance,modern,0.5,0.0,0.0,0.0,4,5.569974660873413,enhanced_heuristic,1,1,False,False
hidream_china_art_dance_modern::5,hidream_china_art_dance_modern,5,china,art,dance,modern,0.5,0.0,0.0,0.0,4,5.572020769119263,enhanced_heuristic,1,1,False,True
hidream_china_art_dance_traditional::step0,hidream_china_art_dance_traditional,step0,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,2.4506959915161133,enhanced_heuristic,1,1,True,False
hidream_china_art_dance_traditional::1,hidream_china_art_dance_traditional,1,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,2.450376033782959,enhanced_heuristic,1,1,False,False
hidream_china_art_dance_traditional::2,hidream_china_art_dance_traditional,2,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,2.4531850814819336,enhanced_heuristic,1,1,False,False
hidream_china_art_dance_traditional::3,hidream_china_art_dance_traditional,3,china,art,dance,traditional,0.75,0.6666666666666666,1.0,0.8,4,2.454186201095581,enhanced_heuristic,1,1,False,False
hidream_china_art_dance_traditional::4,hidream_china_art_dance_traditional,4,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,2.452409267425537,enhanced_heuristic,1,1,False,False
hidream_china_art_dance_traditional::5,hidream_china_art_dance_traditional,5,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,2.4545633792877197,enhanced_heuristic,1,1,False,True
hidream_china_art_painting_general::step0,hidream_china_art_painting_general,step0,china,art,painting,general,0.75,1.0,0.5,0.6666666666666666,4,6.475812911987305,enhanced_heuristic,1,1,True,False
