uid,group_id,step,country,category,sub_category,variant,accuracy,precision,recall,f1,num_questions,processing_time,question_source,cultural_representative,prompt_alignment,is_best,is_worst
qwenimage_china_architecture_house_general::step0,qwenimage_china_architecture_house_general,step0,china,architecture,house,general,0.75,1.0,0.5,0.6666666666666666,4,5.391880989074707,enhanced_heuristic,2,3,True,False
qwenimage_china_architecture_house_general::1,qwenimage_china_architecture_house_general,1,china,architecture,house,general,1.0,1.0,1.0,1.0,4,5.2227678298950195,enhanced_heuristic,1,1,False,False
qwenimage_china_architecture_house_general::2,qwenimage_china_architecture_house_general,2,china,architecture,house,general,0.75,1.0,0.5,0.6666666666666666,4,5.06097936630249,enhanced_heuristic,1,1,False,False
qwenimage_china_architecture_house_general::3,qwenimage_china_architecture_house_general,3,china,architecture,house,general,0.75,1.0,0.5,0.6666666666666666,4,5.069890260696411,enhanced_heuristic,1,1,False,False
qwenimage_china_architecture_house_general::4,qwenimage_china_architecture_house_general,4,china,architecture,house,general,0.75,1.0,0.5,0.6666666666666666,4,5.071545600891113,enhanced_heuristic,1,1,False,True
qwenimage_china_architecture_house_general::5,qwenimage_china_architecture_house_general,5,china,architecture,house,general,0.75,1.0,0.5,0.6666666666666666,4,5.077890872955322,enhanced_heuristic,1,1,False,False
qwenimage_china_architecture_house_modern::step0,qwenimage_china_architecture_house_modern,step0,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.836891174316406,enhanced_heuristic,2,3,True,False
qwenimage_china_architecture_house_modern::1,qwenimage_china_architecture_house_modern,1,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.843426704406738,enhanced_heuristic,1,1,False,False
qwenimage_china_architecture_house_modern::2,qwenimage_china_architecture_house_modern,2,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.843322992324829,enhanced_heuristic,1,1,False,False
qwenimage_china_architecture_house_modern::3,qwenimage_china_architecture_house_modern,3,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.849727630615234,enhanced_heuristic,2,3,False,False
qwenimage_china_architecture_house_modern::4,qwenimage_china_architecture_house_modern,4,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.85013222694397,enhanced_heuristic,1,1,False,False
