uid,group_id,step,country,category,sub_category,variant,accuracy,precision,recall,f1,num_questions,processing_time,question_source,cultural_representative,prompt_alignment,is_best,is_worst
nextstep_china_architecture_house_general::step0,nextstep_china_architecture_house_general,step0,china,architecture,house,general,1.0,1.0,1.0,1.0,4,4.542536735534668,enhanced_heuristic,3,3,True,False
nextstep_china_architecture_house_general::1,nextstep_china_architecture_house_general,1,china,architecture,house,general,1.0,1.0,1.0,1.0,4,4.262324333190918,enhanced_heuristic,3,3,False,False
nextstep_china_architecture_house_general::2,nextstep_china_architecture_house_general,2,china,architecture,house,general,1.0,1.0,1.0,1.0,4,4.226656675338745,enhanced_heuristic,3,3,False,False
nextstep_china_architecture_house_general::3,nextstep_china_architecture_house_general,3,china,architecture,house,general,1.0,1.0,1.0,1.0,4,4.227133512496948,enhanced_heuristic,3,3,False,False
nextstep_china_architecture_house_general::4,nextstep_china_architecture_house_general,4,china,architecture,house,general,1.0,1.0,1.0,1.0,4,4.263652801513672,enhanced_heuristic,3,3,False,False
nextstep_china_architecture_house_general::5,nextstep_china_architecture_house_general,5,china,architecture,house,general,1.0,1.0,1.0,1.0,4,4.259573698043823,enhanced_heuristic,3,3,False,True
nextstep_china_architecture_house_modern::step0,nextstep_china_architecture_house_modern,step0,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,4.582275152206421,enhanced_heuristic,1,1,True,False
nextstep_china_architecture_house_modern::1,nextstep_china_architecture_house_modern,1,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,4.5836334228515625,enhanced_heuristic,1,1,False,False
nextstep_china_architecture_house_modern::2,nextstep_china_architecture_house_modern,2,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,4.583595514297485,enhanced_heuristic,1,1,False,False
nextstep_china_architecture_house_modern::3,nextstep_china_architecture_house_modern,3,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,4.582394361495972,enhanced_heuristic,3,3,False,False
nextstep_china_architecture_house_modern::4,nextstep_china_architecture_house_modern,4,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,4.582014083862305,enhanced_heuristic,3,3,False,False
nextstep_china_architecture_house_modern::5,nextstep_china_architecture_house_modern,5,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,4.581640243530273,enhanced_heuristic,1,1,False,True
nextstep_china_architecture_house_traditional::step0,nextstep_china_architecture_house_traditional,step0,china,architecture,house,traditional,0.75,1.0,0.5,0.6666666666666666,4,2.5770840644836426,enhanced_heuristic,1,1,True,False
nextstep_china_architecture_house_traditional::1,nextstep_china_architecture_house_traditional,1,china,architecture,house,traditional,0.75,1.0,0.5,0.6666666666666666,4,2.578951597213745,enhanced_heuristic,1,1,False,False
nextstep_china_architecture_house_traditional::2,nextstep_china_architecture_house_traditional,2,china,architecture,house,traditional,1.0,1.0,1.0,1.0,4,2.5770986080169678,enhanced_heuristic,3,3,False,False
nextstep_china_architecture_house_traditional::3,nextstep_china_architecture_house_traditional,3,china,architecture,house,traditional,1.0,1.0,1.0,1.0,4,2.574755907058716,enhanced_heuristic,1,1,False,False
nextstep_china_architecture_house_traditional::4,nextstep_china_architecture_house_traditional,4,china,architecture,house,traditional,0.75,1.0,0.5,0.6666666666666666,4,2.574375629425049,enhanced_heuristic,3,3,False,False
nextstep_china_architecture_house_traditional::5,nextstep_china_architecture_house_traditional,5,china,architecture,house,traditional,1.0,1.0,1.0,1.0,4,2.5790047645568848,enhanced_heuristic,3,3,False,True
nextstep_china_architecture_landmark_general::step0,nextstep_china_architecture_landmark_general,step0,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,4.117819309234619,enhanced_heuristic,1,1,False,True
nextstep_china_architecture_landmark_general::1,nextstep_china_architecture_landmark_general,1,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,4.117014408111572,enhanced_heuristic,1,1,False,False
nextstep_china_architecture_landmark_general::2,nextstep_china_architecture_landmark_general,2,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,4.114997386932373,enhanced_heuristic,1,1,False,False
nextstep_china_architecture_landmark_general::3,nextstep_china_architecture_landmark_general,3,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,4.1140923500061035,enhanced_heuristic,5,5,False,False
nextstep_china_architecture_landmark_general::4,nextstep_china_architecture_landmark_general,4,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,4.119432210922241,enhanced_heuristic,1,1,True,False
nextstep_china_architecture_landmark_general::5,nextstep_china_architecture_landmark_general,5,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,4.117401123046875,enhanced_heuristic,5,5,False,False
nextstep_china_architecture_landmark_modern::step0,nextstep_china_architecture_landmark_modern,step0,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,4.1147565841674805,enhanced_heuristic,1,1,False,True
nextstep_china_architecture_landmark_modern::1,nextstep_china_architecture_landmark_modern,1,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,4.119625091552734,enhanced_heuristic,1,1,False,False
nextstep_china_architecture_landmark_modern::2,nextstep_china_architecture_landmark_modern,2,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,4.11845850944519,enhanced_heuristic,1,1,False,False
nextstep_china_architecture_landmark_modern::3,nextstep_china_architecture_landmark_modern,3,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,4.115978479385376,enhanced_heuristic,5,5,False,False
nextstep_china_architecture_landmark_modern::4,nextstep_china_architecture_landmark_modern,4,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,4.125740051269531,enhanced_heuristic,1,1,True,False
nextstep_china_architecture_landmark_modern::5,nextstep_china_architecture_landmark_modern,5,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,4.1232709884643555,enhanced_heuristic,5,5,False,False
nextstep_china_architecture_landmark_traditional::step0,nextstep_china_architecture_landmark_traditional,step0,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,2.197401285171509,enhanced_heuristic,1,1,True,False
nextstep_china_architecture_landmark_traditional::1,nextstep_china_architecture_landmark_traditional,1,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,2.197394371032715,enhanced_heuristic,1,1,False,False
nextstep_china_architecture_landmark_traditional::2,nextstep_china_architecture_landmark_traditional,2,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,2.1657795906066895,enhanced_heuristic,3,3,False,False
nextstep_china_architecture_landmark_traditional::3,nextstep_china_architecture_landmark_traditional,3,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,2.1626806259155273,enhanced_heuristic,3,3,False,False
nextstep_china_architecture_landmark_traditional::4,nextstep_china_architecture_landmark_traditional,4,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,2.163287878036499,enhanced_heuristic,1,1,False,False
nextstep_china_architecture_landmark_traditional::5,nextstep_china_architecture_landmark_traditional,5,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,2.163513660430908,enhanced_heuristic,3,3,False,True
nextstep_china_art_dance_general::step0,nextstep_china_art_dance_general,step0,china,art,dance,general,0.5,0.0,0.0,0.0,4,6.521178960800171,enhanced_heuristic,1,1,True,False
nextstep_china_art_dance_general::1,nextstep_china_art_dance_general,1,china,art,dance,general,0.5,0.0,0.0,0.0,4,6.515220642089844,enhanced_heuristic,1,1,False,False
nextstep_china_art_dance_general::2,nextstep_china_art_dance_general,2,china,art,dance,general,0.75,1.0,0.5,0.6666666666666666,4,6.4820215702056885,enhanced_heuristic,1,1,False,False
nextstep_china_art_dance_general::3,nextstep_china_art_dance_general,3,china,art,dance,general,0.75,1.0,0.5,0.6666666666666666,4,6.447300910949707,enhanced_heuristic,1,1,False,False
nextstep_china_art_dance_general::4,nextstep_china_art_dance_general,4,china,art,dance,general,1.0,1.0,1.0,1.0,4,6.416980266571045,enhanced_heuristic,1,1,False,False
nextstep_china_art_dance_general::5,nextstep_china_art_dance_general,5,china,art,dance,general,0.75,1.0,0.5,0.6666666666666666,4,6.416106462478638,enhanced_heuristic,1,1,False,True
nextstep_china_art_dance_modern::step0,nextstep_china_art_dance_modern,step0,china,art,dance,modern,0.75,1.0,0.5,0.6666666666666666,4,4.376399993896484,enhanced_heuristic,1,1,True,False
nextstep_china_art_dance_modern::1,nextstep_china_art_dance_modern,1,china,art,dance,modern,0.75,1.0,0.5,0.6666666666666666,4,4.3098320960998535,enhanced_heuristic,1,1,False,False
nextstep_china_art_dance_modern::2,nextstep_china_art_dance_modern,2,china,art,dance,modern,0.75,1.0,0.5,0.6666666666666666,4,4.308385610580444,enhanced_heuristic,1,1,False,False
nextstep_china_art_dance_modern::3,nextstep_china_art_dance_modern,3,china,art,dance,modern,0.75,1.0,0.5,0.6666666666666666,4,4.3110740184783936,enhanced_heuristic,1,1,False,False
nextstep_china_art_dance_modern::4,nextstep_china_art_dance_modern,4,china,art,dance,modern,0.75,1.0,0.5,0.6666666666666666,4,4.31058406829834,enhanced_heuristic,1,1,False,False
nextstep_china_art_dance_modern::5,nextstep_china_art_dance_modern,5,china,art,dance,modern,0.75,1.0,0.5,0.6666666666666666,4,4.311151742935181,enhanced_heuristic,1,1,False,True
nextstep_china_art_dance_traditional::step0,nextstep_china_art_dance_traditional,step0,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,1.2518630027770996,enhanced_heuristic,1,1,True,False
nextstep_china_art_dance_traditional::1,nextstep_china_art_dance_traditional,1,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,1.255075216293335,enhanced_heuristic,1,1,False,False
nextstep_china_art_dance_traditional::2,nextstep_china_art_dance_traditional,2,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,1.255871057510376,enhanced_heuristic,1,1,False,False
nextstep_china_art_dance_traditional::3,nextstep_china_art_dance_traditional,3,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,1.2562062740325928,enhanced_heuristic,1,1,False,False
nextstep_china_art_dance_traditional::4,nextstep_china_art_dance_traditional,4,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,1.2558488845825195,enhanced_heuristic,1,1,False,False
