T2I prompt,I2I prompt,base,edit_1,edit_2,edit_3,edit_4,edit_5
"House in China, photorealistic.",Change the image to represent house in China.,base/hidream_china_architecture_house_general.png,edit_1/hidream_china_architecture_house_general_1.png,edit_2/hidream_china_architecture_house_general_2.png,edit_3/hidream_china_architecture_house_general_3.png,edit_4/hidream_china_architecture_house_general_4.png,edit_5/hidream_china_architecture_house_general_5.png
"Modern house in China, photorealistic.",Change the image to represent modern house in China.,base/hidream_china_architecture_house_modern.png,edit_1/hidream_china_architecture_house_modern_1.png,edit_2/hidream_china_architecture_house_modern_2.png,edit_3/hidream_china_architecture_house_modern_3.png,edit_4/hidream_china_architecture_house_modern_4.png,edit_5/hidream_china_architecture_house_modern_5.png
"Traditional house in China, photorealistic.",Change the image to represent traditional house in China.,base/hidream_china_architecture_house_traditional.png,edit_1/hidream_china_architecture_house_traditional_1.png,edit_2/hidream_china_architecture_house_traditional_2.png,edit_3/hidream_china_architecture_house_traditional_3.png,edit_4/hidream_china_architecture_house_traditional_4.png,edit_5/hidream_china_architecture_house_traditional_5.png
"Landmark in China, photorealistic.",Change the image to represent landmark in China.,base/hidream_china_architecture_landmark_general.png,edit_1/hidream_china_architecture_landmark_general_1.png,edit_2/hidream_china_architecture_landmark_general_2.png,edit_3/hidream_china_architecture_landmark_general_3.png,edit_4/hidream_china_architecture_landmark_general_4.png,edit_5/hidream_china_architecture_landmark_general_5.png
"Modern landmark in China, photorealistic.",Change the image to represent modern landmark in China.,base/hidream_china_architecture_landmark_modern.png,edit_1/hidream_china_architecture_landmark_modern_1.png,edit_2/hidream_china_architecture_landmark_modern_2.png,edit_3/hidream_china_architecture_landmark_modern_3.png,edit_4/hidream_china_architecture_landmark_modern_4.png,edit_5/hidream_china_architecture_landmark_modern_5.png
"Traditional landmark in China, photorealistic.",Change the image to represent traditional landmark in China.,base/hidream_china_architecture_landmark_traditional.png,edit_1/hidream_china_architecture_landmark_traditional_1.png,edit_2/hidream_china_architecture_landmark_traditional_2.png,edit_3/hidream_china_architecture_landmark_traditional_3.png,edit_4/hidream_china_architecture_landmark_traditional_4.png,edit_5/hidream_china_architecture_landmark_traditional_5.png
"Dance in China, photorealistic.",Change the image to represent dance in China.,base/hidream_china_art_dance_general.png,edit_1/hidream_china_art_dance_general_1.png,edit_2/hidream_china_art_dance_general_2.png,edit_3/hidream_china_art_dance_general_3.png,edit_4/hidream_china_art_dance_general_4.png,edit_5/hidream_china_art_dance_general_5.png
"Modern dance in China, photorealistic.",Change the image to represent modern dance in China.,base/hidream_china_art_dance_modern.png,edit_1/hidream_china_art_dance_modern_1.png,edit_2/hidream_china_art_dance_modern_2.png,edit_3/hidream_china_art_dance_modern_3.png,edit_4/hidream_china_art_dance_modern_4.png,edit_5/hidream_china_art_dance_modern_5.png
"Traditional dance in China, photorealistic.",Change the image to represent traditional dance in China.,base/hidream_china_art_dance_traditional.png,edit_1/hidream_china_art_dance_traditional_1.png,edit_2/hidream_china_art_dance_traditional_2.png,edit_3/hidream_china_art_dance_traditional_3.png,edit_4/hidream_china_art_dance_traditional_4.png,edit_5/hidream_china_art_dance_traditional_5.png
"Painting in China, photorealistic.",Change the image to represent painting in China.,base/hidream_china_art_painting_general.png,edit_1/hidream_china_art_painting_general_1.png,edit_2/hidream_china_art_painting_general_2.png,edit_3/hidream_china_art_painting_general_3.png,edit_4/hidream_china_art_painting_general_4.png,edit_5/hidream_china_art_painting_general_5.png
