uid,group_id,step,country,category,sub_category,variant,question,expected_answer,actual_answer,question_rationale
sd35_china_architecture_house_general::step0,sd35_china_architecture_house_general,step0,china,architecture,house,general,Does the architecture represent recognizable china building characteristics?,yes,yes,Template-based question for architecture general in china
sd35_china_architecture_house_general::step0,sd35_china_architecture_house_general,step0,china,architecture,house,general,Are there foreign architectural elements unrelated to china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::step0,sd35_china_architecture_house_general,step0,china,architecture,house,general,Does the structure fit within the typical china built environment?,yes,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::step0,sd35_china_architecture_house_general,step0,china,architecture,house,general,Are there elements that would be culturally inappropriate in china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::1,sd35_china_architecture_house_general,1,china,architecture,house,general,Does the architecture represent recognizable china building characteristics?,yes,yes,Template-based question for architecture general in china
sd35_china_architecture_house_general::1,sd35_china_architecture_house_general,1,china,architecture,house,general,Are there foreign architectural elements unrelated to china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::1,sd35_china_architecture_house_general,1,china,architecture,house,general,Does the structure fit within the typical china built environment?,yes,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::1,sd35_china_architecture_house_general,1,china,architecture,house,general,Are there elements that would be culturally inappropriate in china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::2,sd35_china_architecture_house_general,2,china,architecture,house,general,Does the architecture represent recognizable china building characteristics?,yes,yes,Template-based question for architecture general in china
sd35_china_architecture_house_general::2,sd35_china_architecture_house_general,2,china,architecture,house,general,Are there foreign architectural elements unrelated to china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::2,sd35_china_architecture_house_general,2,china,architecture,house,general,Does the structure fit within the typical china built environment?,yes,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::2,sd35_china_architecture_house_general,2,china,architecture,house,general,Are there elements that would be culturally inappropriate in china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::3,sd35_china_architecture_house_general,3,china,architecture,house,general,Does the architecture represent recognizable china building characteristics?,yes,yes,Template-based question for architecture general in china
sd35_china_architecture_house_general::3,sd35_china_architecture_house_general,3,china,architecture,house,general,Are there foreign architectural elements unrelated to china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::3,sd35_china_architecture_house_general,3,china,architecture,house,general,Does the structure fit within the typical china built environment?,yes,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::3,sd35_china_architecture_house_general,3,china,architecture,house,general,Are there elements that would be culturally inappropriate in china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::4,sd35_china_architecture_house_general,4,china,architecture,house,general,Does the architecture represent recognizable china building characteristics?,yes,yes,Template-based question for architecture general in china
sd35_china_architecture_house_general::4,sd35_china_architecture_house_general,4,china,architecture,house,general,Are there foreign architectural elements unrelated to china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::4,sd35_china_architecture_house_general,4,china,architecture,house,general,Does the structure fit within the typical china built environment?,yes,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::4,sd35_china_architecture_house_general,4,china,architecture,house,general,Are there elements that would be culturally inappropriate in china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::5,sd35_china_architecture_house_general,5,china,architecture,house,general,Does the architecture represent recognizable china building characteristics?,yes,yes,Template-based question for architecture general in china
sd35_china_architecture_house_general::5,sd35_china_architecture_house_general,5,china,architecture,house,general,Are there foreign architectural elements unrelated to china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::5,sd35_china_architecture_house_general,5,china,architecture,house,general,Does the structure fit within the typical china built environment?,yes,no,Template-based question for architecture general in china
sd35_china_architecture_house_general::5,sd35_china_architecture_house_general,5,china,architecture,house,general,Are there elements that would be culturally inappropriate in china?,no,no,Template-based question for architecture general in china
sd35_china_architecture_house_modern::step0,sd35_china_architecture_house_modern,step0,china,architecture,house,modern,Does the architecture show contemporary design while maintaining china cultural identity?,yes,no,Template-based question for architecture modern in china
sd35_china_architecture_house_modern::step0,sd35_china_architecture_house_modern,step0,china,architecture,house,modern,Are there outdated or purely traditional elements inappropriate for modern china architecture?,no,no,Template-based question for architecture modern in china
