uid,group_id,step,country,category,sub_category,variant,accuracy,precision,recall,f1,num_questions,processing_time,question_source,cultural_representative,prompt_alignment,is_best,is_worst
sd35_china_architecture_house_general::step0,sd35_china_architecture_house_general,step0,china,architecture,house,general,0.75,1.0,0.5,0.6666666666666666,4,5.346539735794067,enhanced_heuristic,1,1,True,False
sd35_china_architecture_house_general::1,sd35_china_architecture_house_general,1,china,architecture,house,general,0.75,1.0,0.5,0.6666666666666666,4,5.220239877700806,enhanced_heuristic,1,1,False,False
sd35_china_architecture_house_general::2,sd35_china_architecture_house_general,2,china,architecture,house,general,0.75,1.0,0.5,0.6666666666666666,4,5.057241916656494,enhanced_heuristic,1,1,False,False
sd35_china_architecture_house_general::3,sd35_china_architecture_house_general,3,china,architecture,house,general,0.75,1.0,0.5,0.6666666666666666,4,5.061985731124878,enhanced_heuristic,2,3,False,False
sd35_china_architecture_house_general::4,sd35_china_architecture_house_general,4,china,architecture,house,general,0.75,1.0,0.5,0.6666666666666666,4,5.095339059829712,enhanced_heuristic,1,1,False,False
sd35_china_architecture_house_general::5,sd35_china_architecture_house_general,5,china,architecture,house,general,0.75,1.0,0.5,0.6666666666666666,4,5.0604870319366455,enhanced_heuristic,1,1,False,True
sd35_china_architecture_house_modern::step0,sd35_china_architecture_house_modern,step0,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.833805322647095,enhanced_heuristic,1,1,True,False
sd35_china_architecture_house_modern::1,sd35_china_architecture_house_modern,1,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.838724374771118,enhanced_heuristic,1,1,False,False
sd35_china_architecture_house_modern::2,sd35_china_architecture_house_modern,2,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.8363635540008545,enhanced_heuristic,1,1,False,False
sd35_china_architecture_house_modern::3,sd35_china_architecture_house_modern,3,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.8356828689575195,enhanced_heuristic,1,1,False,False
sd35_china_architecture_house_modern::4,sd35_china_architecture_house_modern,4,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.835823059082031,enhanced_heuristic,1,1,False,False
sd35_china_architecture_house_modern::5,sd35_china_architecture_house_modern,5,china,architecture,house,modern,0.5,0.0,0.0,0.0,4,5.837177515029907,enhanced_heuristic,1,1,False,True
sd35_china_architecture_house_traditional::step0,sd35_china_architecture_house_traditional,step0,china,architecture,house,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.774523973464966,enhanced_heuristic,1,1,True,False
sd35_china_architecture_house_traditional::1,sd35_china_architecture_house_traditional,1,china,architecture,house,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.7722532749176025,enhanced_heuristic,1,1,False,False
sd35_china_architecture_house_traditional::2,sd35_china_architecture_house_traditional,2,china,architecture,house,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.772353172302246,enhanced_heuristic,1,1,False,False
sd35_china_architecture_house_traditional::3,sd35_china_architecture_house_traditional,3,china,architecture,house,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.7744460105895996,enhanced_heuristic,1,1,False,False
sd35_china_architecture_house_traditional::4,sd35_china_architecture_house_traditional,4,china,architecture,house,traditional,1.0,1.0,1.0,1.0,4,3.80574631690979,enhanced_heuristic,1,1,False,False
sd35_china_architecture_house_traditional::5,sd35_china_architecture_house_traditional,5,china,architecture,house,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.7688469886779785,enhanced_heuristic,1,1,False,True
sd35_china_architecture_landmark_general::step0,sd35_china_architecture_landmark_general,step0,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,5.4584386348724365,enhanced_heuristic,1,1,True,False
sd35_china_architecture_landmark_general::1,sd35_china_architecture_landmark_general,1,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,5.454199314117432,enhanced_heuristic,1,1,False,False
sd35_china_architecture_landmark_general::2,sd35_china_architecture_landmark_general,2,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,5.614212274551392,enhanced_heuristic,1,1,False,False
sd35_china_architecture_landmark_general::3,sd35_china_architecture_landmark_general,3,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,5.457716464996338,enhanced_heuristic,1,1,False,False
sd35_china_architecture_landmark_general::4,sd35_china_architecture_landmark_general,4,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,5.458615303039551,enhanced_heuristic,1,1,False,False
sd35_china_architecture_landmark_general::5,sd35_china_architecture_landmark_general,5,china,architecture,landmark,general,0.75,1.0,0.5,0.6666666666666666,4,5.459051132202148,enhanced_heuristic,1,1,False,True
sd35_china_architecture_landmark_modern::step0,sd35_china_architecture_landmark_modern,step0,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,5.406562566757202,enhanced_heuristic,5,5,False,True
sd35_china_architecture_landmark_modern::1,sd35_china_architecture_landmark_modern,1,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,5.47145414352417,enhanced_heuristic,5,5,False,False
sd35_china_architecture_landmark_modern::2,sd35_china_architecture_landmark_modern,2,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,5.404358625411987,enhanced_heuristic,5,5,False,False
sd35_china_architecture_landmark_modern::3,sd35_china_architecture_landmark_modern,3,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,5.402135372161865,enhanced_heuristic,5,5,False,False
sd35_china_architecture_landmark_modern::4,sd35_china_architecture_landmark_modern,4,china,architecture,landmark,modern,0.5,0.0,0.0,0.0,4,5.409093141555786,enhanced_heuristic,3,3,True,False
sd35_china_architecture_landmark_modern::5,sd35_china_architecture_landmark_modern,5,china,architecture,landmark,modern,0.75,1.0,0.5,0.6666666666666666,4,5.410541534423828,enhanced_heuristic,5,5,False,False
sd35_china_architecture_landmark_traditional::step0,sd35_china_architecture_landmark_traditional,step0,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.382377862930298,enhanced_heuristic,1,1,True,False
sd35_china_architecture_landmark_traditional::1,sd35_china_architecture_landmark_traditional,1,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.3794612884521484,enhanced_heuristic,1,1,False,False
sd35_china_architecture_landmark_traditional::2,sd35_china_architecture_landmark_traditional,2,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.381819725036621,enhanced_heuristic,3,3,False,False
sd35_china_architecture_landmark_traditional::3,sd35_china_architecture_landmark_traditional,3,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.3825857639312744,enhanced_heuristic,1,1,False,False
sd35_china_architecture_landmark_traditional::4,sd35_china_architecture_landmark_traditional,4,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.3858489990234375,enhanced_heuristic,1,1,False,False
sd35_china_architecture_landmark_traditional::5,sd35_china_architecture_landmark_traditional,5,china,architecture,landmark,traditional,0.75,1.0,0.5,0.6666666666666666,4,3.3827192783355713,enhanced_heuristic,1,1,False,True
sd35_china_art_dance_general::step0,sd35_china_art_dance_general,step0,china,art,dance,general,0.5,0.0,0.0,0.0,4,9.308817148208618,enhanced_heuristic,1,1,True,False
sd35_china_art_dance_general::1,sd35_china_art_dance_general,1,china,art,dance,general,0.5,0.0,0.0,0.0,4,9.305196762084961,enhanced_heuristic,1,1,False,False
sd35_china_art_dance_general::2,sd35_china_art_dance_general,2,china,art,dance,general,0.5,0.0,0.0,0.0,4,9.459408283233643,enhanced_heuristic,1,1,False,False
sd35_china_art_dance_general::3,sd35_china_art_dance_general,3,china,art,dance,general,0.5,0.0,0.0,0.0,4,9.276879787445068,enhanced_heuristic,1,1,False,False
sd35_china_art_dance_general::4,sd35_china_art_dance_general,4,china,art,dance,general,0.5,0.0,0.0,0.0,4,9.275611639022827,enhanced_heuristic,1,1,False,False
sd35_china_art_dance_general::5,sd35_china_art_dance_general,5,china,art,dance,general,0.5,0.0,0.0,0.0,4,9.275380611419678,enhanced_heuristic,1,1,False,True
sd35_china_art_dance_modern::step0,sd35_china_art_dance_modern,step0,china,art,dance,modern,0.75,1.0,0.5,0.6666666666666666,4,5.637970209121704,enhanced_heuristic,1,1,True,False
sd35_china_art_dance_modern::1,sd35_china_art_dance_modern,1,china,art,dance,modern,0.75,1.0,0.5,0.6666666666666666,4,5.544936656951904,enhanced_heuristic,1,1,False,False
sd35_china_art_dance_modern::2,sd35_china_art_dance_modern,2,china,art,dance,modern,0.75,1.0,0.5,0.6666666666666666,4,5.543267726898193,enhanced_heuristic,1,1,False,False
sd35_china_art_dance_modern::3,sd35_china_art_dance_modern,3,china,art,dance,modern,0.75,1.0,0.5,0.6666666666666666,4,5.544594764709473,enhanced_heuristic,1,1,False,False
sd35_china_art_dance_modern::4,sd35_china_art_dance_modern,4,china,art,dance,modern,0.75,1.0,0.5,0.6666666666666666,4,5.5408408641815186,enhanced_heuristic,1,1,False,False
sd35_china_art_dance_modern::5,sd35_china_art_dance_modern,5,china,art,dance,modern,0.75,1.0,0.5,0.6666666666666666,4,5.640657424926758,enhanced_heuristic,1,1,False,True
sd35_china_art_dance_traditional::step0,sd35_china_art_dance_traditional,step0,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,2.4455301761627197,enhanced_heuristic,1,1,True,False
sd35_china_art_dance_traditional::1,sd35_china_art_dance_traditional,1,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,2.447608232498169,enhanced_heuristic,1,1,False,False
sd35_china_art_dance_traditional::2,sd35_china_art_dance_traditional,2,china,art,dance,traditional,0.75,1.0,0.5,0.6666666666666666,4,2.4448275566101074,enhanced_heuristic,1,1,False,False
sd35_china_art_dance_traditional::3,sd35_china_art_dance_traditional,3,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,2.445234537124634,enhanced_heuristic,1,1,False,False
sd35_china_art_dance_traditional::4,sd35_china_art_dance_traditional,4,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,2.449721336364746,enhanced_heuristic,1,1,False,False
sd35_china_art_dance_traditional::5,sd35_china_art_dance_traditional,5,china,art,dance,traditional,1.0,1.0,1.0,1.0,4,2.447502613067627,enhanced_heuristic,1,1,False,True
sd35_china_art_painting_general::step0,sd35_china_art_painting_general,step0,china,art,painting,general,0.5,0.0,0.0,0.0,4,6.47273850440979,enhanced_heuristic,1,1,True,False
sd35_china_art_painting_general::1,sd35_china_art_painting_general,1,china,art,painting,general,0.5,0.0,0.0,0.0,4,6.4738993644714355,enhanced_heuristic,1,1,False,False
sd35_china_art_painting_general::2,sd35_china_art_painting_general,2,china,art,painting,general,0.75,1.0,0.5,0.6666666666666666,4,6.626749515533447,enhanced_heuristic,1,1,False,False
sd35_china_art_painting_general::3,sd35_china_art_painting_general,3,china,art,painting,general,0.5,0.0,0.0,0.0,4,6.4719929695129395,enhanced_heuristic,1,1,False,False
sd35_china_art_painting_general::4,sd35_china_art_painting_general,4,china,art,painting,general,0.5,0.0,0.0,0.0,4,6.465520858764648,enhanced_heuristic,1,1,False,False
sd35_china_art_painting_general::5,sd35_china_art_painting_general,5,china,art,painting,general,0.5,0.0,0.0,0.0,4,6.470142364501953,enhanced_heuristic,1,1,False,True
sd35_china_art_painting_modern::step0,sd35_china_art_painting_modern,step0,china,art,painting,modern,0.5,0.0,0.0,0.0,4,4.745676040649414,enhanced_heuristic,1,1,True,False
sd35_china_art_painting_modern::1,sd35_china_art_painting_modern,1,china,art,painting,modern,0.5,0.0,0.0,0.0,4,4.742736577987671,enhanced_heuristic,1,1,False,False
sd35_china_art_painting_modern::2,sd35_china_art_painting_modern,2,china,art,painting,modern,0.5,0.0,0.0,0.0,4,4.73852801322937,enhanced_heuristic,1,1,False,False
sd35_china_art_painting_modern::3,sd35_china_art_painting_modern,3,china,art,painting,modern,0.5,0.0,0.0,0.0,4,4.739799976348877,enhanced_heuristic,1,1,False,False
