row_id,prompt_used_for_clip,step,image_path,clip_cosine,clip_score_0_100,aesthetic_score,dreamsim_dist_vs_step0,dreamsim_sim_vs_step0,dreamsim_dist_vs_prev_step,dreamsim_sim_vs_prev_step
0,Change the image to represent house in China.,step0_path,/home/chans/iaseai26/dataset/nextstep/base/nextstep_china_architecture_house_general.png,0.2493896484375,24.93896484375,5.537413597106934,0.0,1.0,,
0,Change the image to represent house in China.,step1_path,/home/chans/iaseai26/dataset/nextstep/edit_1/nextstep_china_architecture_house_general_1.png,0.25439453125,25.439453125,5.465301513671875,0.11148279905319214,0.8885172009468079,0.11148279905319214,0.8885172009468079
0,Change the image to represent house in China.,step2_path,/home/chans/iaseai26/dataset/nextstep/edit_2/nextstep_china_architecture_house_general_2.png,0.2462158203125,24.62158203125,5.478953838348389,0.24982857704162598,0.750171422958374,0.12111425399780273,0.8788857460021973
0,Change the image to represent house in China.,step3_path,/home/chans/iaseai26/dataset/nextstep/edit_3/nextstep_china_architecture_house_general_3.png,0.240966796875,24.0966796875,5.47842264175415,0.38429009914398193,0.6157099008560181,0.22074347734451294,0.7792565226554871
0,Change the image to represent house in China.,step4_path,/home/chans/iaseai26/dataset/nextstep/edit_4/nextstep_china_architecture_house_general_4.png,0.2337646484375,23.37646484375,5.427151203155518,0.4682173728942871,0.5317826271057129,0.08597385883331299,0.914026141166687
0,Change the image to represent house in China.,step5_path,/home/chans/iaseai26/dataset/nextstep/edit_5/nextstep_china_architecture_house_general_5.png,0.23876953125,23.876953125,5.385263442993164,0.48844122886657715,0.5115587711334229,0.06747764348983765,0.9325223565101624
1,Change the image to represent modern house in China.,step0_path,/home/chans/iaseai26/dataset/nextstep/base/nextstep_china_architecture_house_modern.png,0.258544921875,25.8544921875,5.443844795227051,0.0,1.0,,
1,Change the image to represent modern house in China.,step1_path,/home/chans/iaseai26/dataset/nextstep/edit_1/nextstep_china_architecture_house_modern_1.png,0.267578125,26.7578125,5.4752936363220215,0.27232736349105835,0.7276726365089417,0.2723273038864136,0.7276726961135864
1,Change the image to represent modern house in China.,step2_path,/home/chans/iaseai26/dataset/nextstep/edit_2/nextstep_china_architecture_house_modern_2.png,0.264404296875,26.4404296875,5.4771223068237305,0.37660694122314453,0.6233930587768555,0.17308282852172852,0.8269171714782715
1,Change the image to represent modern house in China.,step3_path,/home/chans/iaseai26/dataset/nextstep/edit_3/nextstep_china_architecture_house_modern_3.png,0.251708984375,25.1708984375,5.469756126403809,0.4318734407424927,0.5681265592575073,0.05930137634277344,0.9406986236572266
1,Change the image to represent modern house in China.,step4_path,/home/chans/iaseai26/dataset/nextstep/edit_4/nextstep_china_architecture_house_modern_4.png,0.2366943359375,23.66943359375,5.440711975097656,0.4639517664909363,0.5360482335090637,0.03203701972961426,0.9679629802703857
1,Change the image to represent modern house in China.,step5_path,/home/chans/iaseai26/dataset/nextstep/edit_5/nextstep_china_architecture_house_modern_5.png,0.232666015625,23.2666015625,5.387266159057617,0.4851949214935303,0.5148050785064697,0.03851664066314697,0.961483359336853
2,Change the image to represent traditional house in China.,step0_path,/home/chans/iaseai26/dataset/nextstep/base/nextstep_china_architecture_house_traditional.png,0.281005859375,28.1005859375,5.54337739944458,0.0,1.0,,
2,Change the image to represent traditional house in China.,step1_path,/home/chans/iaseai26/dataset/nextstep/edit_1/nextstep_china_architecture_house_traditional_1.png,0.258544921875,25.8544921875,5.556031227111816,0.18749791383743286,0.8125020861625671,0.18749797344207764,0.8125020265579224
2,Change the image to represent traditional house in China.,step2_path,/home/chans/iaseai26/dataset/nextstep/edit_2/nextstep_china_architecture_house_traditional_2.png,0.2607421875,26.07421875,5.613485336303711,0.30681896209716797,0.693181037902832,0.17115271091461182,0.8288472890853882
2,Change the image to represent traditional house in China.,step3_path,/home/chans/iaseai26/dataset/nextstep/edit_3/nextstep_china_architecture_house_traditional_3.png,0.24365234375,24.365234375,5.533064842224121,0.37489163875579834,0.6251083612442017,0.0964353084564209,0.9035646915435791
2,Change the image to represent traditional house in China.,step4_path,/home/chans/iaseai26/dataset/nextstep/edit_4/nextstep_china_architecture_house_traditional_4.png,0.25341796875,25.341796875,5.43178653717041,0.41653960943222046,0.5834603905677795,0.07113730907440186,0.9288626909255981
2,Change the image to represent traditional house in China.,step5_path,/home/chans/iaseai26/dataset/nextstep/edit_5/nextstep_china_architecture_house_traditional_5.png,0.2303466796875,23.03466796875,5.428118705749512,0.44007736444473267,0.5599226355552673,0.09304690361022949,0.9069530963897705
3,Change the image to represent landmark in China.,step0_path,/home/chans/iaseai26/dataset/nextstep/base/nextstep_china_architecture_landmark_general.png,0.2313232421875,23.13232421875,5.499948501586914,0.0,1.0,,
