row_id,prompt,editing_prompt,step0_path,step1_path,step2_path,step3_path,step4_path,step5_path,best_step_by_clip,best_clip_score,best_step_by_aesthetic,best_aesthetic
0,"House in China, photorealistic.",Change the image to represent house in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_architecture_house_general.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_architecture_house_general_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_architecture_house_general_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_architecture_house_general_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_architecture_house_general_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_architecture_house_general_5.png,step5_path,26.611328125,step3_path,5.510788917541504
1,"Modern house in China, photorealistic.",Change the image to represent modern house in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_architecture_house_modern.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_architecture_house_modern_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_architecture_house_modern_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_architecture_house_modern_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_architecture_house_modern_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_architecture_house_modern_5.png,step5_path,25.1953125,step2_path,5.4196319580078125
2,"Traditional house in China, photorealistic.",Change the image to represent traditional house in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_architecture_house_traditional.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_architecture_house_traditional_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_architecture_house_traditional_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_architecture_house_traditional_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_architecture_house_traditional_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_architecture_house_traditional_5.png,step3_path,30.810546875,step3_path,5.4676313400268555
3,"Landmark in China, photorealistic.",Change the image to represent landmark in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_architecture_landmark_general.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_architecture_landmark_general_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_architecture_landmark_general_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_architecture_landmark_general_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_architecture_landmark_general_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_architecture_landmark_general_5.png,step3_path,25.1953125,step4_path,5.527851104736328
4,"Modern landmark in China, photorealistic.",Change the image to represent modern landmark in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_architecture_landmark_modern.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_architecture_landmark_modern_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_architecture_landmark_modern_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_architecture_landmark_modern_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_architecture_landmark_modern_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_architecture_landmark_modern_5.png,step5_path,27.294921875,step3_path,5.45989990234375
5,"Traditional landmark in China, photorealistic.",Change the image to represent traditional landmark in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_architecture_landmark_traditional.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_architecture_landmark_traditional_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_architecture_landmark_traditional_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_architecture_landmark_traditional_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_architecture_landmark_traditional_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_architecture_landmark_traditional_5.png,step5_path,25.830078125,step3_path,5.481785297393799
6,"Dance in China, photorealistic.",Change the image to represent dance in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_art_dance_general.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_art_dance_general_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_art_dance_general_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_art_dance_general_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_art_dance_general_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_art_dance_general_5.png,step0_path,28.8818359375,step1_path,5.520252227783203
7,"Modern dance in China, photorealistic.",Change the image to represent modern dance in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_art_dance_modern.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_art_dance_modern_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_art_dance_modern_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_art_dance_modern_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_art_dance_modern_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_art_dance_modern_5.png,step1_path,27.685546875,step1_path,5.515042781829834
8,"Traditional dance in China, photorealistic.",Change the image to represent traditional dance in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_art_dance_traditional.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_art_dance_traditional_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_art_dance_traditional_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_art_dance_traditional_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_art_dance_traditional_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_art_dance_traditional_5.png,step2_path,27.9052734375,step2_path,5.5362935066223145
9,"Painting in China, photorealistic.",Change the image to represent painting in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_art_painting_general.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_art_painting_general_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_art_painting_general_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_art_painting_general_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_art_painting_general_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_art_painting_general_5.png,step0_path,27.3681640625,step0_path,5.696434020996094
10,"Modern painting in China, photorealistic.",Change the image to represent modern painting in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_art_painting_modern.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_art_painting_modern_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_art_painting_modern_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_art_painting_modern_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_art_painting_modern_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_art_painting_modern_5.png,step5_path,25.4150390625,step0_path,5.557405471801758
11,"Traditional painting in China, photorealistic.",Change the image to represent traditional painting in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_art_painting_traditional.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_art_painting_traditional_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_art_painting_traditional_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_art_painting_traditional_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_art_painting_traditional_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_art_painting_traditional_5.png,step1_path,26.6845703125,step1_path,5.601554870605469
12,"Sculpture in China, photorealistic.",Change the image to represent sculpture in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_art_sculpture_general.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_art_sculpture_general_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_art_sculpture_general_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_art_sculpture_general_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_art_sculpture_general_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_art_sculpture_general_5.png,step5_path,26.0986328125,step2_path,5.365077018737793
13,"Modern sculpture in China, photorealistic.",Change the image to represent modern sculpture in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_art_sculpture_modern.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_art_sculpture_modern_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_art_sculpture_modern_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_art_sculpture_modern_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_art_sculpture_modern_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_art_sculpture_modern_5.png,step2_path,28.4423828125,step3_path,5.351339340209961
14,"Traditional sculpture in China, photorealistic.",Change the image to represent traditional sculpture in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_art_sculpture_traditional.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_art_sculpture_traditional_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_art_sculpture_traditional_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_art_sculpture_traditional_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_art_sculpture_traditional_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_art_sculpture_traditional_5.png,step4_path,26.2451171875,step4_path,5.477899074554443
15,"Festival in China, photorealistic.",Change the image to represent festival in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_event_festival_general.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_event_festival_general_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_event_festival_general_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_event_festival_general_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_event_festival_general_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_event_festival_general_5.png,step3_path,25.6103515625,step2_path,5.536403179168701
16,"Modern festival in China, photorealistic.",Change the image to represent modern festival in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_event_festival_modern.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_event_festival_modern_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_event_festival_modern_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_event_festival_modern_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_event_festival_modern_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_event_festival_modern_5.png,step2_path,27.2705078125,step2_path,5.478707313537598
17,"Traditional festival in China, photorealistic.",Change the image to represent traditional festival in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_event_festival_traditional.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_event_festival_traditional_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_event_festival_traditional_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_event_festival_traditional_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_event_festival_traditional_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_event_festival_traditional_5.png,step2_path,24.609375,step2_path,5.481206893920898
18,"Funeral in China, photorealistic.",Change the image to represent funeral in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_event_funeral_general.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_event_funeral_general_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_event_funeral_general_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_event_funeral_general_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_event_funeral_general_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_event_funeral_general_5.png,step2_path,29.19921875,step2_path,5.477654457092285
19,"Modern funeral in China, photorealistic.",Change the image to represent modern funeral in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_event_funeral_modern.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_event_funeral_modern_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_event_funeral_modern_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_event_funeral_modern_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_event_funeral_modern_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_event_funeral_modern_5.png,step5_path,30.76171875,step2_path,5.468262672424316
20,"Traditional funeral in China, photorealistic.",Change the image to represent traditional funeral in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_event_funeral_traditional.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_event_funeral_traditional_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_event_funeral_traditional_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_event_funeral_traditional_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_event_funeral_traditional_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_event_funeral_traditional_5.png,step1_path,29.98046875,step2_path,5.440865516662598
21,"Game in China, photorealistic.",Change the image to represent game in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_event_game_general.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_event_game_general_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_event_game_general_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_event_game_general_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_event_game_general_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_event_game_general_5.png,step5_path,24.6826171875,step1_path,5.5574846267700195
22,"Modern game in China, photorealistic.",Change the image to represent modern game in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_event_game_modern.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_event_game_modern_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_event_game_modern_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_event_game_modern_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_event_game_modern_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_event_game_modern_5.png,step0_path,24.40185546875,step1_path,5.577397346496582
23,"Traditional game in China, photorealistic.",Change the image to represent traditional game in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_event_game_traditional.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_event_game_traditional_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_event_game_traditional_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_event_game_traditional_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_event_game_traditional_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_event_game_traditional_5.png,step0_path,23.57177734375,step2_path,5.616171836853027
24,"Religious ritual in China, photorealistic.",Change the image to represent religious ritual in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_event_religious_ritual_general.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_event_religious_ritual_general_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_event_religious_ritual_general_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_event_religious_ritual_general_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_event_religious_ritual_general_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_event_religious_ritual_general_5.png,step4_path,25.87890625,step2_path,5.497245788574219
25,"Modern eligious ritual in China, photorealistic.",Change the image to represent modern religious ritual in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_event_religious_ritual_modern.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_event_religious_ritual_modern_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_event_religious_ritual_modern_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_event_religious_ritual_modern_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_event_religious_ritual_modern_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_event_religious_ritual_modern_5.png,step0_path,26.171875,step2_path,5.492780685424805
26,"Traditional religious ritual in China, photorealistic.",Change the image to represent traditional religious ritual in China.,/home/chans/iaseai26/dataset/flux/base/flux_china_event_religious_ritual_traditional.png,/home/chans/iaseai26/dataset/flux/edit_1/flux_china_event_religious_ritual_traditional_1.png,/home/chans/iaseai26/dataset/flux/edit_2/flux_china_event_religious_ritual_traditional_2.png,/home/chans/iaseai26/dataset/flux/edit_3/flux_china_event_religious_ritual_traditional_3.png,/home/chans/iaseai26/dataset/flux/edit_4/flux_china_event_religious_ritual_traditional_4.png,/home/chans/iaseai26/dataset/flux/edit_5/flux_china_event_religious_ritual_traditional_5.png,step3_path,28.3935546875,step2_path,5.490690231323242
