row_id,prompt,editing_prompt,step0_path,step1_path,step2_path,step3_path,step4_path,step5_path,best_step_by_clip,best_clip_score,best_step_by_aesthetic,best_aesthetic
0,"House in China, photorealistic.",Change the image to represent house in China.,/home/chans/iaseai26/dataset/hidream/base/hidream_china_architecture_house_general.png,/home/chans/iaseai26/dataset/hidream/edit_1/hidream_china_architecture_house_general_1.png,/home/chans/iaseai26/dataset/hidream/edit_2/hidream_china_architecture_house_general_2.png,/home/chans/iaseai26/dataset/hidream/edit_3/hidream_china_architecture_house_general_3.png,/home/chans/iaseai26/dataset/hidream/edit_4/hidream_china_architecture_house_general_4.png,/home/chans/iaseai26/dataset/hidream/edit_5/hidream_china_architecture_house_general_5.png,step0_path,25.439453125,step1_path,5.464555740356445
1,"Modern house in China, photorealistic.",Change the image to represent modern house in China.,/home/chans/iaseai26/dataset/hidream/base/hidream_china_architecture_house_modern.png,/home/chans/iaseai26/dataset/hidream/edit_1/hidream_china_architecture_house_modern_1.png,/home/chans/iaseai26/dataset/hidream/edit_2/hidream_china_architecture_house_modern_2.png,/home/chans/iaseai26/dataset/hidream/edit_3/hidream_china_architecture_house_modern_3.png,/home/chans/iaseai26/dataset/hidream/edit_4/hidream_china_architecture_house_modern_4.png,/home/chans/iaseai26/dataset/hidream/edit_5/hidream_china_architecture_house_modern_5.png,step0_path,26.806640625,step1_path,5.457708358764648
2,"Traditional house in China, photorealistic.",Change the image to represent traditional house in China.,/home/chans/iaseai26/dataset/hidream/base/hidream_china_architecture_house_traditional.png,/home/chans/iaseai26/dataset/hidream/edit_1/hidream_china_architecture_house_traditional_1.png,/home/chans/iaseai26/dataset/hidream/edit_2/hidream_china_architecture_house_traditional_2.png,/home/chans/iaseai26/dataset/hidream/edit_3/hidream_china_architecture_house_traditional_3.png,/home/chans/iaseai26/dataset/hidream/edit_4/hidream_china_architecture_house_traditional_4.png,/home/chans/iaseai26/dataset/hidream/edit_5/hidream_china_architecture_house_traditional_5.png,step1_path,28.5400390625,step1_path,5.498724937438965
3,"Landmark in China, photorealistic.",Change the image to represent landmark in China.,/home/chans/iaseai26/dataset/hidream/base/hidream_china_architecture_landmark_general.png,/home/chans/iaseai26/dataset/hidream/edit_1/hidream_china_architecture_landmark_general_1.png,/home/chans/iaseai26/dataset/hidream/edit_2/hidream_china_architecture_landmark_general_2.png,/home/chans/iaseai26/dataset/hidream/edit_3/hidream_china_architecture_landmark_general_3.png,/home/chans/iaseai26/dataset/hidream/edit_4/hidream_china_architecture_landmark_general_4.png,/home/chans/iaseai26/dataset/hidream/edit_5/hidream_china_architecture_landmark_general_5.png,step5_path,26.2939453125,step1_path,5.502836227416992
4,"Modern landmark in China, photorealistic.",Change the image to represent modern landmark in China.,/home/chans/iaseai26/dataset/hidream/base/hidream_china_architecture_landmark_modern.png,/home/chans/iaseai26/dataset/hidream/edit_1/hidream_china_architecture_landmark_modern_1.png,/home/chans/iaseai26/dataset/hidream/edit_2/hidream_china_architecture_landmark_modern_2.png,/home/chans/iaseai26/dataset/hidream/edit_3/hidream_china_architecture_landmark_modern_3.png,/home/chans/iaseai26/dataset/hidream/edit_4/hidream_china_architecture_landmark_modern_4.png,/home/chans/iaseai26/dataset/hidream/edit_5/hidream_china_architecture_landmark_modern_5.png,step5_path,28.076171875,step1_path,5.468986511230469
5,"Traditional landmark in China, photorealistic.",Change the image to represent traditional landmark in China.,/home/chans/iaseai26/dataset/hidream/base/hidream_china_architecture_landmark_traditional.png,/home/chans/iaseai26/dataset/hidream/edit_1/hidream_china_architecture_landmark_traditional_1.png,/home/chans/iaseai26/dataset/hidream/edit_2/hidream_china_architecture_landmark_traditional_2.png,/home/chans/iaseai26/dataset/hidream/edit_3/hidream_china_architecture_landmark_traditional_3.png,/home/chans/iaseai26/dataset/hidream/edit_4/hidream_china_architecture_landmark_traditional_4.png,/home/chans/iaseai26/dataset/hidream/edit_5/hidream_china_architecture_landmark_traditional_5.png,step5_path,25.1708984375,step0_path,5.460565090179443
6,"Dance in China, photorealistic.",Change the image to represent dance in China.,/home/chans/iaseai26/dataset/hidream/base/hidream_china_art_dance_general.png,/home/chans/iaseai26/dataset/hidream/edit_1/hidream_china_art_dance_general_1.png,/home/chans/iaseai26/dataset/hidream/edit_2/hidream_china_art_dance_general_2.png,/home/chans/iaseai26/dataset/hidream/edit_3/hidream_china_art_dance_general_3.png,/home/chans/iaseai26/dataset/hidream/edit_4/hidream_china_art_dance_general_4.png,/home/chans/iaseai26/dataset/hidream/edit_5/hidream_china_art_dance_general_5.png,step5_path,30.029296875,step4_path,5.573183059692383
7,"Modern dance in China, photorealistic.",Change the image to represent modern dance in China.,/home/chans/iaseai26/dataset/hidream/base/hidream_china_art_dance_modern.png,/home/chans/iaseai26/dataset/hidream/edit_1/hidream_china_art_dance_modern_1.png,/home/chans/iaseai26/dataset/hidream/edit_2/hidream_china_art_dance_modern_2.png,/home/chans/iaseai26/dataset/hidream/edit_3/hidream_china_art_dance_modern_3.png,/home/chans/iaseai26/dataset/hidream/edit_4/hidream_china_art_dance_modern_4.png,/home/chans/iaseai26/dataset/hidream/edit_5/hidream_china_art_dance_modern_5.png,step0_path,28.3935546875,step2_path,5.541244983673096
8,"Traditional dance in China, photorealistic.",Change the image to represent traditional dance in China.,/home/chans/iaseai26/dataset/hidream/base/hidream_china_art_dance_traditional.png,/home/chans/iaseai26/dataset/hidream/edit_1/hidream_china_art_dance_traditional_1.png,/home/chans/iaseai26/dataset/hidream/edit_2/hidream_china_art_dance_traditional_2.png,/home/chans/iaseai26/dataset/hidream/edit_3/hidream_china_art_dance_traditional_3.png,/home/chans/iaseai26/dataset/hidream/edit_4/hidream_china_art_dance_traditional_4.png,/home/chans/iaseai26/dataset/hidream/edit_5/hidream_china_art_dance_traditional_5.png,step5_path,30.224609375,step0_path,5.472224235534668
9,"Painting in China, photorealistic.",Change the image to represent painting in China.,/home/chans/iaseai26/dataset/hidream/base/hidream_china_art_painting_general.png,/home/chans/iaseai26/dataset/hidream/edit_1/hidream_china_art_painting_general_1.png,/home/chans/iaseai26/dataset/hidream/edit_2/hidream_china_art_painting_general_2.png,/home/chans/iaseai26/dataset/hidream/edit_3/hidream_china_art_painting_general_3.png,/home/chans/iaseai26/dataset/hidream/edit_4/hidream_china_art_painting_general_4.png,/home/chans/iaseai26/dataset/hidream/edit_5/hidream_china_art_painting_general_5.png,step4_path,29.541015625,step1_path,5.576304912567139
10,"Modern painting in China, photorealistic.",Change the image to represent modern painting in China.,/home/chans/iaseai26/dataset/hidream/base/hidream_china_art_painting_modern.png,/home/chans/iaseai26/dataset/hidream/edit_1/hidream_china_art_painting_modern_1.png,/home/chans/iaseai26/dataset/hidream/edit_2/hidream_china_art_painting_modern_2.png,/home/chans/iaseai26/dataset/hidream/edit_3/hidream_china_art_painting_modern_3.png,/home/chans/iaseai26/dataset/hidream/edit_4/hidream_china_art_painting_modern_4.png,/home/chans/iaseai26/dataset/hidream/edit_5/hidream_china_art_painting_modern_5.png,step1_path,28.271484375,step0_path,5.688501358032227
11,"Traditional painting in China, photorealistic.",Change the image to represent traditional painting in China.,/home/chans/iaseai26/dataset/hidream/base/hidream_china_art_painting_traditional.png,/home/chans/iaseai26/dataset/hidream/edit_1/hidream_china_art_painting_traditional_1.png,/home/chans/iaseai26/dataset/hidream/edit_2/hidream_china_art_painting_traditional_2.png,/home/chans/iaseai26/dataset/hidream/edit_3/hidream_china_art_painting_traditional_3.png,/home/chans/iaseai26/dataset/hidream/edit_4/hidream_china_art_painting_traditional_4.png,/home/chans/iaseai26/dataset/hidream/edit_5/hidream_china_art_painting_traditional_5.png,step4_path,28.6865234375,step0_path,5.669872283935547
12,"Sculpture in China, photorealistic.",Change the image to represent sculpture in China.,/home/chans/iaseai26/dataset/hidream/base/hidream_china_art_sculpture_general.png,/home/chans/iaseai26/dataset/hidream/edit_1/hidream_china_art_sculpture_general_1.png,/home/chans/iaseai26/dataset/hidream/edit_2/hidream_china_art_sculpture_general_2.png,/home/chans/iaseai26/dataset/hidream/edit_3/hidream_china_art_sculpture_general_3.png,/home/chans/iaseai26/dataset/hidream/edit_4/hidream_china_art_sculpture_general_4.png,/home/chans/iaseai26/dataset/hidream/edit_5/hidream_china_art_sculpture_general_5.png,step4_path,24.84130859375,step1_path,5.446777820587158
13,"Modern sculpture in China, photorealistic.",Change the image to represent modern sculpture in China.,/home/chans/iaseai26/dataset/hidream/base/hidream_china_art_sculpture_modern.png,/home/chans/iaseai26/dataset/hidream/edit_1/hidream_china_art_sculpture_modern_1.png,/home/chans/iaseai26/dataset/hidream/edit_2/hidream_china_art_sculpture_modern_2.png,/home/chans/iaseai26/dataset/hidream/edit_3/hidream_china_art_sculpture_modern_3.png,/home/chans/iaseai26/dataset/hidream/edit_4/hidream_china_art_sculpture_modern_4.png,/home/chans/iaseai26/dataset/hidream/edit_5/hidream_china_art_sculpture_modern_5.png,step5_path,30.3466796875,step0_path,5.440619468688965
